,Unnamed: 0,Num,Name,Mv(mean),Class,Number of Points,Num Matches,a,e,i,H,Mean COM Flux,STD COM Flux,Mean COM Flux Error,Mean COM Flux Error STD,SNR,Best Period [Seconds],Best Period [Hours],Best Period [Days],False Alarm Probability,Model Parameters,Max Periodogram Power,Mag Vary
38,105, 8908 ,1995 WY6,16.866, MB>Outer ,2354,40,2.999444904450784,0.039076867736309,10.9818059880428,12.57,37.20995389554568,7.596705891875485,3.7326902523750607,2.438469640748897,9.968669077716664,6232.705283846325,1.7313070232906458,0.0721377926371102,5.473265882020142e-80,[-0.00825153  3.77187087 -1.79106704],0.1512319403698585,0.24475683023538725
39,106, 11996 ,1995 YC1,17.76, MB>Outer ,3203,0,3.031027775770703,0.0610703674106139,17.19196394949921,13.43,13.6521161181468,4.5543481223929785,1.9942929891224288,1.1520739825079565,6.845591993057297,1165834.2479845253,323.8428466623681,13.493451944265338,2.2965599353332128e-82,[-0.30889524  1.76340759 -1.52414065],0.1165257919519683,0.3832425727200187
40,121, 96290 ,1996 HZ17,17.985, MB>Inner ,3057,0,2.218087333003456,0.0595164692660971,6.962719345478651,14.99,11.094478638865713,5.426274550718903,1.295013472671524,0.969884563485864,8.567075843603822,8574.438872560215,2.381788575711171,0.0992411906546321,8.02973646160598e-100,[-0.0083403  -0.53672614  2.8659702 ],0.1446190828864955,0.5848683553205559
41,133, 12011 ,1996 VT5,17.035, MB>Inner ,2803,0,2.301948752862434,0.0990687697388098,7.567101802804162,14.61,27.99251649512869,5.671890832325185,2.9000797086138306,1.7329958557006164,9.652326593639886,16765.835995514197,4.65717666542061,0.1940490277258587,7.508069179245759e-71,[-2.13592728e-04 -2.54172923e+00 -9.93583703e-01],0.1154028581816003,0.21237540033796842
42,135, 90880 ,1996 WZ2,17.233, MB>Middle ,3168,12,2.554785589806164,0.1810517211132215,10.48082519033202,14.72,23.86414932313529,8.238733003800347,2.890972023729676,1.9208496004180629,8.25471472129567,71265.6099565035,19.796002765695416,0.8248334485706423,0.0,[-0.01055511  4.22935904  7.10636871],0.5047661985032562,0.7853593730345664
43,138, 21307 ,1996 XG3,17.444, MB>Inner ,1186,0,2.306020717545162,0.1598578898050069,4.641730936197445,15.13,14.523591429762464,5.393260098467554,1.821459067899848,1.1279328093727514,7.973602967926283,8802.011350264,2.445003152851111,0.1018751313687962,1.2796525101721257e-93,[-1.58398901e-03  2.53158831e+00  3.47312437e+00],0.3142381097393708,0.6624711020373688
44,141, 73866 ,1997 AB1,17.304, MB>Inner ,3060,0,2.303454238365992,0.2558652016662582,4.09155634558905,15.86,15.684621060750052,6.612385142931076,2.1232475983454915,1.4012398347633206,7.3870899809198205,1165956.669276212,323.8768525767256,13.494868857363564,1.7922878986134217e-99,[-0.14091379 -3.28487911  0.40678208],0.1440401193999055,0.46959155423268084
45,142, 19336 ,1997 AF,15.66, MB>Middle ,2356,318,2.557343844562507,0.305514106634846,7.529032793681898,14.0,145.3085248763514,10.10943485702314,14.48055028452059,8.656910641665315,10.034737770406643,890445.9231324783,247.3460897590217,10.306087073292572,4.225023128000752e-111,[ 1.31882754 -0.17584493  6.74494031],0.2014280920322577,0.09999335461489364
46,144, 22464 ,1997 AG14,16.358, MB>Middle ,1444,368,2.588887169102048,0.2199605264199521,14.32173017356167,13.26,49.67719249656988,9.74322844776658,6.645075533997301,3.620108044003437,7.47579049213409,15708.422156068387,4.363450598907885,0.1818104416211619,0.0,[-0.0559837   9.47812679 -6.01586085],0.6588418363485044,0.499913371547978
47,146, 39745 ,1997 AK17,16.724, MB>Middle ,2371,0,2.586130069870327,0.2200526018012064,10.35441327814376,14.44,35.06505500821559,11.592373608942218,4.2866836982631895,2.650154444623137,8.179995884096298,28345.381552837785,7.873717098010496,0.3280715457504373,0.0,[ 0.10180891 -3.26451181 11.93389979],0.5689345161821693,0.7980528503003868
48,148, 16791 ,1997 AR5,16.548, MB>Outer ,1987,4,2.931064725999441,0.1964448554740903,14.33860738240431,13.05,43.01945547447324,7.045008892584642,3.525529951490822,2.4262147734672443,12.202266344746793,76394.21760432482,21.22061600120134,0.8841923333833891,2.921964356149184e-68,[0.05678149 3.75172425 1.10638453],0.1535207615755437,0.19772096979232476
49,152, 12030 ,1997 BF3,16.726, MB>Inner ,3110,2,2.314218047986865,0.2201721531400229,5.488513510434175,15.21,35.17544121149291,9.140523846916253,4.553053281124382,2.270280729417164,7.725681875351631,1299897.5625377866,361.08265626049626,15.045110677520675,0.0,[1.00304433 2.62321232 8.07321306],0.4629823402001005,0.5191710826701232
50,155, 19352 ,1997 EL,15.766, MB>Outer ,2887,107,3.003423368208139,0.1179019678288786,10.97171843706547,12.16,103.02294088409472,13.173354429849365,12.107875924244135,5.927615421764294,8.508754262818908,10290.314046516223,2.8584205684767285,0.1191008570198637,3.98483091694866e-83,[-0.02696887 -0.82359235 -6.65856362],0.1294528106113043,0.14165312519291196
51,161, 37764 ,1997 GT3,17.576, MB>Outer ,3218,0,3.058443424180104,0.0882012156872892,9.57722129132501,13.63,15.520330350815351,6.206858943888649,1.7644756286846188,1.1644617476431904,8.79600154204762,13797.845316869178,3.8327348102414383,0.1596972837600599,3.763261920618015e-165,[-0.01121322 -0.60359338 -4.01847497],0.2150463533032576,0.5825313891785413
52,170, 35348 ,1997 JO18,18.025, MB>Outer ,1850,0,3.110819403057968,0.1623331806987408,18.66020305402627,13.43,10.448217017055647,5.040430573784263,1.5700976387954115,1.0269565208935116,6.654501451942558,1204376.2128648537,334.5489480180149,13.93953950075062,5.7256436524034776e-70,[-0.2763712   3.05140589  0.70906306],0.1672536261595076,0.6912006580606566
53,174, 29445 ,1997 PH,17.092, MB>Inner ,2997,1,2.437843472950179,0.1330676263955543,6.441744355531948,14.87,20.31625077241033,5.693480011860734,2.6113143818492475,1.450011675056112,7.780086118172806,7184.498439730556,1.995694011036265,0.083153917126511,8.275102543220029e-147,[0.00448407 2.39778905 2.77447681],0.2068450076633964,0.3961968840766031
54,175, 23703 ,1997 RJ1,17.63, MB>Outer ,3118,0,3.210522458132385,0.1285131676536741,6.400333874510816,13.86,14.046883247041327,4.709465875243633,1.8643836298774847,1.0246681033763796,7.534330929501026,326749.2196191578,90.76367211643272,3.7818196715180297,8.218116677432528e-103,[-0.08661557 -2.49529033 -0.56442263],0.1457936465235048,0.4024853576097066
55,176, 44004 ,1997 SS3,17.059, MB>Inner ,3176,5,2.458619874027803,0.1988194357618411,5.96841468802422,15.02,24.108704122409925,7.373793602338542,3.134130107610608,1.7629381069281211,7.692311197887657,25715.04762457269,7.143068784603524,0.2976278660251468,2.388191423536973e-103,[-0.02881119  0.94686599  3.84548217],0.1439952609570626,0.3604076669026508
56,181, 24963 ,1997 UB11,17.27, MB>Outer ,3008,0,3.217767426560317,0.0322891726173389,21.3458767658653,12.85,19.208914535294323,6.449325916619377,2.5324773232103635,1.343148407385513,7.5850292356985936,11636.18256760805,3.2322729354466806,0.134678038976945,2.8683303606336624e-239,[-0.05023197  3.34538221 -3.84617542],0.3111804661031193,0.592002489673789
57,192, 31216 ,1998 BL12,18.07, MB>Middle ,2555,0,2.529697533361616,0.1272530628861352,17.34898694983406,13.95,10.772170395466706,4.455795280060455,1.5769172536264005,0.9694218597940312,6.831157672156984,1165961.8322161396,323.8782867267055,13.494928613612728,3.3000932179449083e-122,[-0.76344914 -2.60560158  1.40213875],0.2033183356833073,0.6617072227612625
58,212, 52706 ,1998 FO77,17.5, MB>Cybele ,205,0,3.495635744296291,0.047057199887198,9.455206481427414,12.89,13.983825643737648,7.914380731341329,1.3602909396511704,1.137693109346423,10.280025571091157,203513.79880717865,56.531610779771846,2.3554837824904937,4.5444798520146143e-10,[-4.26192856 -6.63378701 -5.79858682],0.2420584802147151,3.270929505664859
59,219, 52722 ,1998 GK,17.1, Mars-Crosser ,201,1,1.932769105200091,0.1588889768948361,24.77600636114997,14.77,17.478494174405103,35.42221561818075,0.3160939250265916,0.5756961482635021,55.29525495605369,28948.968030989487,8.04138000860819,0.3350575003586746,1.1572058398443784e-10,[ -0.28635232 -22.47831502  11.14252043],0.2576942030366958,
60,233, 44156 ,1998 HN123,17.1, MB>Inner ,404,0,2.327856334228381,0.1395166719788548,8.94918482566414,14.95,19.19246597827888,7.993758558300731,2.493692438116819,1.6510787070748387,7.696404610655436,516440.3458149984,143.45565161527733,5.977318817303223,2.224230027128277e-47,[-7.62917269 12.71143624 -1.37374558],0.4374336709849111,
61,245, 40049 ,1998 KB37,17.9, MB>Middle ,416,0,2.62619017777694,0.0661511072775256,14.56365333802775,14.44,13.508881547667178,3.087494977362128,2.074166991966085,0.9562709100830992,6.512918969394179,20847.480795118823,5.790966887533006,0.2412902869805419,5.149861041302068e-08,[-0.06478546 -0.93173273 -1.10413974],0.1088899427839961,0.23425519173603163
62,247, 31341 ,1998 KH55,17.067, MB>Outer ,341,0,3.032446203912675,0.0745272981738774,16.96968765998618,13.02,24.68180067338962,5.387772955860186,2.448766229591504,1.5587657607112109,10.079280077913754,41739.4447552807,11.594290209800196,0.4830954254083415,4.508808135218323e-08,[-1.96523373e-03 -2.29912339e+00 -1.50111657e+00],0.1311878190738019,0.24259350095558738
63,250, 20383 ,1998 KU51,17.341, MB>Outer ,2967,1,3.014449371003918,0.1053991489274272,11.75044575320128,13.35,20.060707316598325,7.719185828420402,2.461575924998649,1.5503978571104913,8.14953831521948,22102.9742053489,6.139715057041361,0.2558214607100567,1.9107113297886396e-303,[2.49560562e-03 5.26121958e+00 4.21815612e+00],0.3798154636288993,0.7593574870500347
64,253, 11732 ,1998 KX48,16.644, MB>Outer ,3149,21,3.007540014756838,0.0585091658018162,10.94172447523579,12.6,36.52846293563143,11.264599232735232,4.4668259213234345,2.56324480175506,8.177722521321975,638972.5400232614,177.4923722286837,7.395515509528489,1.2865492569063184e-296,[0.85460626 9.16893744 2.17449264],0.3560247383406553,0.5594252633886424
65,257, 35650 ,1998 MD11,17.6, MB>Outer ,1562,0,3.041792930798856,0.1037909836838295,10.88670945304388,13.86,16.78735492208702,4.452183125352236,1.8570185590776185,1.2274250858123428,9.039949999436356,536117.5513092672,148.921542030352,6.205064251264666,1.858322190192612e-36,[-0.05827037  0.64346975  1.9585507 ],0.1106030602625912,0.2689598362252716
66,258, 12536 ,1998 MD33,16.485, MB>Outer ,3261,225,3.062766687045949,0.1838493157844792,9.90813269982474,13.07,45.32267587311578,9.18880659614414,5.293825579901679,2.898011079768334,8.56142220574588,46601.09715914161,12.944749210872668,0.5393645504530279,0.0,[-0.0908129  -7.71864326 -2.42608998],0.3853842157813277,0.3926502657113282
67,260, 40086 ,1998 MK33,16.835, MB>Middle ,2397,47,2.667245007059575,0.2278193371218941,12.72631037325568,14.49,33.468556539579694,7.256526281604087,4.44423120098382,2.090268100133269,7.530786546876939,755393.11567617,209.83142102115832,8.742975875881598,2.1176122979650216e-91,[-0.63296429  3.39131335 -2.6906739 ],0.1672334050916341,0.28796357126731403
68,262, 48984 ,1998 QC47,17.546, MB>Inner ,2461,0,2.378041659973888,0.2061947011398614,3.365679801203453,15.59,13.392522032752757,6.301728207269801,1.7875596980047888,1.107021339940773,7.4920698020329155,10207.062666139664,2.835295185038796,0.1181372993766165,3.006759453987491e-181,[0.01064361 3.81648296 2.95354377],0.293001868596939,0.8185295173032182
