xcentroid,ycentroid,fwhm,roundness,pa,max_value,flux,mag,frame,psflike,psfdiff,flux_sign,xint,yint,n_detections,objid,source_mask,ra,dec,mjd,GaiaID,Type,Prob
131.93194987521252,256.1260073461788,4.278677880007047,0.49158987304714197,52.4557852783268,106.08097116386625,653.9568928766205,-7.038872804286101,30,0.92,0.4394791369099667,1,132,256,205,2,1,164.17927142932837,17.79795667416538,58899.45384107903,3982271003719165952,RRAB,0.9929999709129332
71.91556730012631,288.2299855971067,5.602298951592886,0.336951024155568,39.62994935851377,9.94075566927819,81.01278385282322,-4.771383890365295,30,0.98,0.25775390594758835,1,72,288,3,25,1,163.91192629918646,18.097624041336054,58899.45384107903,3983045089969717248,0,0.0
330.7249751905555,299.6886403600656,2.4683572062218553,0.1672810309509198,44.26863845485119,174.43722496612904,1015.9500153765666,-7.517180853087898,30,0.92,0.4243513316752762,1,331,300,653,3,1,165.3794663034684,17.595574011398554,58899.45384107903,0,0,0.0
110.37756119115207,223.27801389212223,6.078777869247582,0.35115734665443044,90.92501844554678,6.773264305678367,51.05020118568291,-4.269993644884931,31,0.94,0.4281472865957606,1,110,223,198,21,1,163.98962191301774,17.67033489028849,58899.47467469825,0,0,0.0
131.99213219013774,256.264284963219,4.452469031100349,0.5273571278933958,51.56200495551758,98.02169996402239,640.833424101055,-7.016862888168331,31,0.91,0.4687237375757305,1,132,256,205,2,1,164.17989990284462,17.798559577214238,58899.47467469825,3982271003719165952,RRAB,0.9929999709129332
71.14682820133453,288.5240309574184,5.1564325381333616,0.15811865708255213,176.4714437925702,12.27601933775054,81.80686457433666,-4.781974369253809,31,0.93,0.4181963362105101,1,71,289,3,25,1,163.90824895724487,18.100838272331593,58899.47467469825,3983045089969717248,0,0.0
330.74036133533286,299.63807674336135,2.6399269855940566,0.1269792345016576,36.904271927842245,172.6842349114279,1020.7683527803118,-7.522317992524972,31,0.92,0.4251982963948191,1,331,300,653,3,1,165.3794431576093,17.59527285301913,58899.47467469825,0,0,0.0
166.3865412990092,18.011336500123452,6.595997292792862,0.00521281903344499,92.44053500770329,6.448758545946362,56.35251658781239,-4.377283288790076,32,0.94,0.3557625964041038,1,166,18,2,26,1,163.8698331187581,16.461281200204038,58899.49550831748,0,0,0.0
244.46547062124498,222.06442329690375,3.406712550763044,0.12640527403408608,103.45151104440707,62.41790821328067,350.2311212196637,-6.360886836189332,32,0.96,0.25956192449869103,1,244,222,817,1,1,164.73382000954615,17.373386124801566,58899.49550831748,3982184417178537472,EB,0.9900000095367432
330.74075239439384,299.6654144188977,2.5022531573670266,0.18260355278241577,37.45259007720743,172.03087298028768,1001.4868972870452,-7.501613179198404,32,0.92,0.4237817067995614,1,331,300,653,3,1,165.37950409295664,17.595416558180226,58899.49550831748,0,0,0.0
244.37733054197824,222.07235404742005,3.1439521464175324,0.10178552509719534,93.10736717739677,70.02816145551782,371.727253586221,-6.42556100758334,33,0.96,0.2690332202923716,1,244,222,817,1,1,164.7333467636279,17.37362001267934,58899.51634193671,3982184417178537472,EB,0.9900000095367432
330.7544891250727,299.68867763021916,2.5590454446584348,0.21259276283673778,36.20000629700029,169.01832483398778,990.3849065501189,-7.489510032714074,33,0.92,0.42348028057471415,1,331,300,653,3,1,165.37963046524862,17.595509421933322,58899.51634193671,0,0,0.0
307.53077618710125,431.8172241496695,5.7665579349185245,0.029885415902480266,92.36345441614438,5.915528030393432,62.18038641856421,-4.484133541571273,33,0.91,0.4259836805340519,1,308,432,1,27,1,165.53516495243915,18.345062342481445,58899.51634193671,0,0,0.0
68.87514472465361,288.09176089682853,4.599110703049791,0.0529682849911767,86.36565859219938,13.337306539234447,82.95833644855168,-4.7971500865606425,34,0.88,0.4874019917277425,1,69,288,1,28,1,163.8946337974965,18.103435680529095,58899.53717555593,0,0,0.0
330.72771176961606,299.67683051494663,2.4945877077210614,0.14667762384420358,51.18451478216215,164.10531705515706,947.3869531689597,-7.441318498990869,34,0.92,0.4248024489979274,1,331,300,653,3,1,165.3794561325595,17.59550555298762,58899.53717555593,0,0,0.0
244.4916425622703,222.0192958898857,2.5653187499799124,0.12074603046645666,85.90487953374273,152.52712024373562,740.7522880415793,-7.174182504016056,35,0.97,0.20620327177942088,1,244,222,817,1,1,164.73386950807776,17.37309019049222,58899.558009174696,3982184417178537472,EB,0.9900000095367432
330.7225730686002,299.634099867521,2.635425261152648,0.19830249363629565,43.03966372328841,158.61597502294794,942.7487951703406,-7.435989965127963,35,0.92,0.42173871411210956,1,331,300,653,3,1,165.3793357163491,17.595290870265007,58899.558009174696,0,0,0.0
327.05729695993773,45.17555887644749,6.442482052238624,0.1814840287991083,13.957801268552334,7.272260459564507,57.457648561060765,-4.398369621584476,36,0.91,0.41567529903337314,1,327,45,2,29,1,164.8161442021647,16.257110313469873,58899.57884279299,0,0,0.0
244.4736851109265,221.9958970857436,2.5991753246051164,0.08218306740865457,79.14259691712417,168.52149422964382,827.845258944925,-7.2948729148282325,36,0.97,0.1998843450633716,1,244,222,817,1,1,164.73371985650166,17.373005387631054,58899.57884279299,3982184417178537472,EB,0.9900000095367432
67.34109487551754,288.1546324198749,5.115065348730817,0.17699914721959678,61.007952512230354,12.434960071294796,81.09609183714369,-4.7724998132572365,36,0.93,0.38188274161810853,1,67,288,2,30,0,163.8861884660185,18.107070618644492,58899.57884279299,0,0,0.0
330.76109675947225,299.65965838283023,2.5757846708323573,0.13668816015327248,44.03277537209723,153.6945701281781,895.5961130586142,-7.380280500116805,36,0.92,0.4273963114060765,1,331,300,653,3,1,165.37960482423625,17.595341461583917,58899.57884279299,0,0,0.0
244.5295492529675,221.97863871183114,2.7253947112382253,0.11506559427822242,72.12033070732515,164.9222325983664,817.9241550101322,-7.28178258501043,37,0.96,0.24898557692856138,1,245,222,817,1,1,164.7339937731079,17.372792378090466,58899.599676411286,3982184417178537472,EB,0.9900000095367432
66.62778591192732,288.1378564249094,4.908069644302745,0.1574445697823802,57.015692385280154,11.761329173831712,90.64725243088108,-4.893386612303559,37,0.92,0.4100478438057416,1,67,288,2,30,0,163.88216428130448,18.108516670153946,58899.599676411286,0,0,0.0
330.7040004418382,299.62086460631514,2.611934044095749,0.12362513318866758,44.79872557998132,148.36143433591388,873.189914574267,-7.352771777309776,37,0.92,0.4257236850185508,1,331,300,653,3,1,165.37920401398094,17.595261650177626,58899.599676411286,0,0,0.0
324.23699038782934,45.11256987794113,6.02422991867264,0.17168845018718318,125.81645042814253,5.08572541489977,45.42383141818015,-4.143209408460687,38,0.97,0.2775371297013437,1,324,45,1,31,1,164.80042594436588,16.262920553621534,58899.62051002958,0,0,0.0
244.52994417859045,222.05460061471774,2.7626440437854476,0.139410007667123,68.55431347136215,139.6883760116496,717.5044556494547,-7.139561505877316,38,0.96,0.2580797944074801,1,245,222,817,1,1,164.73415762520347,17.37319374372997,58899.62051002958,3982184417178537472,EB,0.9900000095367432
330.72396520586585,299.6569481118953,2.64545289518799,0.13682117674750185,33.47480796485796,141.88559906808246,830.313059771687,-7.298104672196341,38,0.92,0.4242715313762811,1,331,300,653,3,1,165.37939256722444,17.595408637544356,58899.62051002958,0,0,0.0
247.0650730438461,454.9101166725331,4.968211684950488,0.4144751774822891,15.643668988338094,52.495585332247146,343.6342314353223,-6.3402410498812225,38,0.99,0.21041681735362827,1,247,455,3,32,1,165.24727014903647,18.599889639345964,58899.62051002958,0,0,0.0
274.32118894765904,217.98826968587647,4.01554946703168,0.21277616506300753,79.60279213101931,55.75598212381101,230.48545561983852,-5.906608812998116,39,0.9,0.49684418174452527,1,274,218,226,33,1,164.89109074979385,17.286740588035173,58899.64134364741,0,0,0.0
244.43584923819094,221.96278849489258,2.8689106645146145,0.09416015044448449,58.45159269375961,99.53848233996663,500.9461130257197,-6.749477527870428,39,0.97,0.22869802360696334,1,244,222,817,1,1,164.73343900339782,17.372912448534677,58899.64134364741,3982184417178537472,EB,0.9900000095367432
